custid,address,city,email,firstname,lastname,phone,state,loannbr,mobile_app_downloaded,mobile_app_logged_in,new_borrower_within_60_days,paperless_status,web_login_used,loan1,loanamt1,loanintrt1,loan2,loanamt2,loanintrt2
CUST0001,3682 Chestnut St  65774,Hartford,nora.davis.1@example.com,Nora,Davis,7818035557,CT,622768040,FALSE,FALSE,OPEN,FALSE,TRUE,LN000093,161300,12.95,LN000004,186500,10.8
CUST0002,811 Madison St  19026,New Haven,layla.hernandez.2@example.com,Layla,Hernandez,7377914150,CT,631930086,FALSE,FALSE,OPEN,FALSE,TRUE,LN000016,76900,13.37,LN000056,156800,5.62
CUST0003,3532 Willow Dr  96617,Worcester,olivia.nelson.3@postbox.net,Olivia,Nelson,5516737216,MA,220212633,FALSE,FALSE,OPEN,FALSE,TRUE,LN000051,117500,14.67,LN000039,31900,11.13
CUST0004,9392 Washington St  63942,Buffalo,nora.hall.4@postbox.net,Nora,Hall,6319629830,NY,568720322,FALSE,FALSE,OPEN,TRUE,TRUE,LN000021,104300,11.02,LN000013,230800,6.39
CUST0005,2721 Lincoln Blvd  03959,Norwalk,carter.nguyen.5@inboxnow.co,Carter,Nguyen,2018962876,CT,453914781,TRUE,FALSE,OPEN,TRUE,TRUE,LN000019,102100,13.34,,, 
CUST0006,8417 Cedar Ln  68513,Rockville,layla.moore.6@example.com,Layla,Moore,5517529689,MD,732107797,FALSE,FALSE,OPEN,FALSE,TRUE,LN000059,122600,12.52,,,
CUST0007,8062 Pine Rd  51691,Lowell,zoey.lee.7@mailhub.io,Zoey,Lee,8628217932,MA,413982250,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000078,46800,8.52,,,
CUST0008,5639 Oak St  55070,Bridgeport,chloe.carter.8@example.com,Chloe,Carter,3152326413,CT,723964512,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000045,222100,7.09,,,
CUST0009,1645 Cedar Ln  44476,Cambridge,grace.thomas.9@postbox.net,Grace,Thomas,3322627596,MA,245785244,TRUE,FALSE,OPEN,TRUE,TRUE,LN000083,37100,13.65,,,
CUST0010,1704 Maple Ave  98998,Boston,sophia.thomas.10@letterly.org,Sophia,Thomas,5516168956,MA,151148088,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000066,6500,8.15,,,
CUST0011,9205 Monroe Ave  12070,Hoboken,james.sanchez.11@inboxnow.co,James,Sanchez,7322581821,NJ,910397267,FALSE,FALSE,OPEN,FALSE,TRUE,LN000040,6900,14.11,,,
CUST0012,9433 Chestnut St  56455,Bridgeport,scarlett.allen.12@mailhub.io,Scarlett,Allen,6464096147,CT,950580084,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000042,23700,5.63,,,
CUST0013,8908 Walnut Ave  29883,Hartford,evelyn.sanchez.13@postbox.net,Evelyn,Sanchez,5516489900,CT,164990650,FALSE,FALSE,OPEN,TRUE,TRUE,LN000072,242400,8.54,,,
CUST0014,2646 Willow Dr  67262,Syracuse,samuel.adams.14@example.com,Samuel,Adams,8574571832,NY,565918287,FALSE,FALSE,OPEN,TRUE,TRUE,LN000067,228200,14.41,,,
CUST0015,1932 Pine Rd  61035,Frederick,nora.ramirez.15@postbox.net,Nora,Ramirez,7743301685,MD,803191475,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000094,56500,8.76,LN000006,30100,6.4
CUST0016,3978 Birch Ct  88073,Baltimore,jacob.williams.16@postbox.net,Jacob,Williams,7748855065,MD,822178461,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000025,134500,3.28,LN000100,180800,10.46
CUST0017,487 Walnut Ave  38926,Allentown,mia.hall.17@postbox.net,Mia,Hall,7578959785,PA,188284372,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000097,232900,9.91,LN000041,49400,8.61
CUST0018,8479 Cedar Ln  81045,Allentown,liam.davis.18@postbox.net,Liam,Davis,9089034228,PA,825905374,FALSE,FALSE,OPEN,FALSE,TRUE,LN000099,153500,5.02,LN000061,127300,11.58
CUST0019,4944 Grant St  16371,Hoboken,jackson.jones.19@inboxnow.co,Jackson,Jones,9175087653,NJ,996619563,FALSE,FALSE,OPEN,FALSE,TRUE,LN000015,33300,10.48,LN000086,87200,9.08
CUST0020,2880 Pine Rd  56387,Syracuse,ava.martin.20@mailhub.io,Ava,Martin,7164304262,NY,245644249,FALSE,FALSE,OPEN,TRUE,TRUE,LN000022,79900,6.61,LN000089,194300,11.19
CUST0021,4097 Elm St  68887,Boston,liam.williams.21@letterly.org,Liam,Williams,6313809486,MA,248046164,FALSE,FALSE,OPEN,FALSE,TRUE,LN000038,231300,13.61,LN000011,235300,2.51
